accuracy,precision,recall,f1,roc_auc,pr_auc,ece,tn,fp,fn,tp,seed,model,split_type,noise_group,noise_rate,weight_text
0.9840909090909091,1.0,0.9333333333333333,0.9655172413793104,0.9993461265103056,0.9979937490443632,0.027171485113030143,335,0,7,98,29,retuned_text_hrkg_late_fusion,transcript,entity,0.2,0.5
0.9840909090909091,1.0,0.9333333333333333,0.9655172413793104,0.9992892679459844,0.9977980730597206,0.030041503795588696,335,0,7,98,29,retuned_text_hrkg_late_fusion,transcript,entity,0.3,0.5
0.9840909090909091,1.0,0.9333333333333333,0.9655172413793104,0.9995167022032693,0.9984755223270128,0.023902080598947235,335,0,7,98,29,retuned_text_hrkg_late_fusion,transcript,relation,0.0,0.5
0.9840909090909091,1.0,0.9333333333333333,0.9655172413793104,0.9994314143567875,0.9982301230829489,0.02474057738571887,335,0,7,98,29,retuned_text_hrkg_late_fusion,transcript,relation,0.05,0.5
0.9840909090909091,1.0,0.9333333333333333,0.9655172413793104,0.9993745557924663,0.998054675938965,0.025960214701594788,335,0,7,98,29,retuned_text_hrkg_late_fusion,transcript,relation,0.1,0.5
0.9840909090909091,1.0,0.9333333333333333,0.9655172413793104,0.999317697228145,0.9978671843794098,0.023746781760419673,335,0,7,98,29,retuned_text_hrkg_late_fusion,transcript,relation,0.2,0.5
0.9840909090909091,1.0,0.9333333333333333,0.9655172413793104,0.9992039800995025,0.9975503796721894,0.022681270023290758,335,0,7,98,29,retuned_text_hrkg_late_fusion,transcript,relation,0.3,0.5
0.9840909090909091,1.0,0.9333333333333333,0.9655172413793104,0.9995167022032693,0.9984755223270128,0.023902080598947235,335,0,7,98,29,retuned_text_hrkg_late_fusion,transcript,qualifier,0.0,0.5
0.9840909090909091,1.0,0.9333333333333333,0.9655172413793104,0.9995167022032693,0.9984755223270131,0.023784930040949545,335,0,7,98,29,retuned_text_hrkg_late_fusion,transcript,qualifier,0.05,0.5
0.9840909090909091,1.0,0.9333333333333333,0.9655172413793104,0.9994598436389481,0.9983020645864508,0.023057570062327084,335,0,7,98,29,retuned_text_hrkg_late_fusion,transcript,qualifier,0.1,0.5
